19118,auburn,brown
13291,azure,blue
13210,azure,blue
2327,azure,blue
13675,azure,blue
11369,azure,blue
15626,azure,blue
11011,azure,blue
9686,azure,blue
3035,azure-blue,blue
19404,azure-blue,blue
329,azure-blue,blue
2817,azure-blue,blue
15772,azure-blue,blue
8181,azure-blue,blue
7051,azure-blue,blue
14449,azure-blue,blue
14813,berry-brown,brown
14895,berry-brown,brown
16475,berry-brown,brown
8631,berry-brown,brown
2696,berry-brown,brown
6471,berry-brown,brown
9994,berry-brown,brown
18917,berry-brown,brown
7242,beryl,green
11212,beryl,green
16090,beryl,green
7510,beryl,green
2007,beryl,green
16759,beryl,green
14327,beryl,green
13110,beryl,green
11748,black,black
11981,black,black
18275,black,black
19236,black,black
712,black,black
13973,black,black
2139,black,black
2238,black,black
279,black-blue,blue
724,black-blue,blue
5695,black-blue,blue
11983,black-blue,blue
1461,black-blue,blue
12939,black-blue,blue
1342,black-blue,blue
19235,black-blue,blue
992,black-brown,brown
10447,black-brown,brown
15888,black-brown,brown
6334,black-brown,brown
18123,black-brown,brown
11649,black-brown,brown
9413,black-brown,brown
9690,black-brown,brown
15548,black-green,green
715,black-green,green
1197,black-green,green
17674,black-green,green
5279,black-green,green
17442,black-green,green
1219,black-green,green
8778,black-green,green
13490,blacken,black
14569,blacken,black
11630,blacken,black
5816,blacken,black
15966,blacken,black
19434,blacken,black
2950,blacken,black
14168,blacken,black
13500,blacker,black
14584,blacker,black
11640,blacker,black
5814,blacker,black
15948,blacker,black
19370,blacker,black
2936,blacker,black
14156,blacker,black
10990,blackest,black
14251,blackest,black
12680,blackest,black
8672,blackest,black
3214,blackest,black
3549,blackest,black
4901,blackest,black
13229,blackest,black
9463,blackish,black
7121,blackish,black
15988,blackish,black
11785,blackish,black
4756,blackish,black
17402,blackish,black
1880,blackish,black
6190,blackish,black
13085,blood-colored,NULL
15482,blood-colored,NULL
6971,blood-colored,NULL
11487,blood-colored,NULL
18413,blood-colored,NULL
10806,blood-colored,NULL
17217,blood-colored,NULL
14966,blood-colored,red
12723,blood-red,red
2803,blood-red,red
5128,blood-red,red
3144,blood-red,red
1941,blood-red,red
6778,blood-red,red
6408,blood-red,red
739,blood-red,red
11119,blue,blue
15711,blue,blue
5369,blue,blue
15819,blue,blue
4817,blue,blue
18152,blue,blue
9116,blue,blue
15084,blue,blue
18262,blue-black,black
2967,blue-black,black
18051,blue-black,black
7733,blue-black,black
11018,blue-black,black
16696,blue-black,black
3914,blue-black,black
1900,blue-black,black
14668,blue-gray,gray
1692,blue-gray,gray
3242,blue-gray,gray
9546,blue-gray,gray
6899,blue-gray,gray
18629,blue-gray,gray
1792,blue-gray,gray
13668,blue-gray,gray
16023,blue-green,blue
7868,blue-green,blue
14938,blue-green,blue
9446,blue-green,blue
12227,blue-green,blue
11598,blue-green,blue
7098,blue-green,blue
4797,blue-green,blue
5193,blue-white,white
1908,blue-white,white
2083,blue-white,white
19354,blue-white,white
18137,blue-white,white
1864,blue-white,white
15087,blue-white,white
17362,blue-white,white
2928,bluer,blue
9960,bluer,blue
6081,bluer,blue
14286,bluer,blue
15130,bluer,blue
7738,bluer,blue
7234,bluer,blue
7454,bluer,blue
10859,bluest,blue
62,bluest,blue
15348,bluest,blue
6226,bluest,blue
4795,bluest,blue
9575,bluest,blue
17117,bluest,blue
2006,bluest,blue
17973,bluish,blue
12544,bluish,blue
8399,bluish,blue
2991,bluish,blue
17293,bluish,blue
6446,bluish,blue
10152,bluish,blue
2192,bluish,blue
11603,bluish-gray,gray
6233,bluish-gray,gray
7847,bluish-gray,gray
4575,bluish-gray,gray
19486,bluish-gray,gray
13114,bluish-gray,gray
8355,bluish-gray,gray
11464,bluish-gray,gray
14702,bluish-white,white
